,Country,Cloudiness,Humidity,Date,Latitude,Longitude,Max Temp,Wind Speed,City
278,RU,62,85,1616429619,50.147,48.5704,-0.28,4.97,aleksandrov gay
279,MY,100,83,1616429620,2.4312,103.8405,28.0,3.35,mersing
280,RO,75,45,1616429621,46.3667,26.4833,6.0,7.72,darmanesti
281,CA,95,68,1616429623,55.1001,-105.2842,-7.0,4.12,la ronge
282,IR,0,13,1616429624,31.6128,55.4107,20.3,0.55,bafq
283,IL,100,60,1616429626,32.8156,34.9892,23.0,3.09,haifa
284,RU,100,96,1616429627,60.34,102.2797,-14.87,1.86,vanavara
285,US,40,60,1616429628,21.4447,-157.8378,22.0,6.17,ahuimanu
286,RU,100,86,1616429630,43.4456,41.7448,4.08,5.08,teberda
287,NZ,17,94,1616429631,-45.4167,167.7167,11.08,0.09,te anau
288,RU,70,95,1616429633,61.1333,74.8167,-9.65,2.66,lokosovo
289,KZ,34,95,1616429634,51.8,68.3333,-10.38,3.07,atbasar
290,IR,75,71,1616429635,37.4747,57.329,9.0,3.09,bojnurd
291,MX,1,71,1616429637,32.3333,-117.0333,12.0,2.06,rosarito
292,PL,0,45,1616429639,52.2298,21.0118,5.56,5.66,warsaw
293,AW,20,61,1616429634,12.524,-70.027,29.0,10.8,oranjestad
294,RU,79,80,1616429642,71.9667,102.5,-25.31,5.52,khatanga
295,BD,0,54,1616429643,23.9202,90.2109,29.0,1.67,dhamrai
296,KM,45,64,1616429644,-12.28,43.7425,29.46,2.27,fomboni
297,CA,90,93,1616429520,52.9999,-122.5029,0.0,1.54,quesnel
298,RU,20,51,1616429647,59.7035,30.7861,0.0,5.0,nikolskoye
299,RU,56,81,1616429648,43.0645,44.7417,4.0,5.0,oktyabrskoye
300,CN,40,59,1616429649,31.6836,112.0044,11.23,4.18,wuan
301,PG,16,86,1616429651,-9.0763,143.2092,26.65,2.09,daru
302,NO,50,82,1616429652,59.1,9.5667,7.78,0.89,herre
303,NO,0,68,1616429654,70.3705,31.1107,-3.0,3.6,vardo
304,PF,20,78,1616429655,-17.7333,-149.15,26.0,2.06,tautira
305,GL,89,64,1616429656,61.994,-49.6678,-6.59,0.97,paamiut
306,US,1,45,1616429658,33.1812,-102.2744,20.0,8.75,brownfield
307,GF,67,87,1616429659,3.1655,-52.3158,27.8,1.75,camopi
308,US,40,100,1616429660,20.8947,-156.47,20.0,2.06,kahului
309,ID,100,97,1616429662,-2.5333,112.95,23.62,1.04,sampit
310,RE,0,78,1616429663,-21.3667,55.6167,28.0,3.6,saint-joseph
311,US,1,66,1616429664,45.0205,-93.218,11.0,2.06,saint anthony
312,AU,12,85,1616429666,-35.5667,138.6167,18.33,1.94,victor harbor
313,RU,100,95,1616429531,59.4511,112.5578,-21.24,1.44,vitim
314,ZA,0,23,1616429668,-33.0117,17.9442,31.0,6.17,saldanha
315,NO,0,55,1616429670,69.4719,25.5112,-1.0,6.69,karasjok
316,LY,37,25,1616429671,30.3333,10.85,14.56,7.88,nalut
317,US,66,49,1616429672,40.5489,-84.5702,17.22,2.68,celina
318,CN,0,54,1616429674,32.4586,114.0486,8.79,2.86,minggang
319,ID,100,85,1616429675,4.1363,96.1285,25.98,1.52,meulaboh
320,RU,100,96,1616429677,69.3497,87.7602,-18.17,2.64,kayerkan
321,ID,100,91,1616429678,-3.3667,135.4833,24.33,2.38,nabire
322,IN,0,69,1616429680,10.5669,72.642,28.64,3.25,kavaratti
323,ID,29,82,1616429681,-10.1667,123.5833,26.2,1.26,kupang
324,BO,75,69,1616429682,-20.4167,-63.2833,24.0,2.11,boyuibe
325,BR,100,78,1616429684,-3.3336,-43.5283,28.37,1.59,sao benedito do rio preto
326,RU,31,75,1616429685,42.1704,47.1161,1.61,3.77,kumukh
327,US,1,44,1616429687,44.3876,-68.2039,14.44,2.57,bar harbor
328,NO,40,80,1616429688,71.0357,27.8492,-2.0,7.72,mehamn
329,NO,40,69,1616429689,70.9963,24.6622,-1.0,8.23,havoysund
330,GA,97,80,1616429691,-3.432,10.6554,25.89,2.83,mayumba
331,RU,100,82,1616429692,59.3833,143.3,-9.27,8.52,okhotsk
332,IN,42,20,1616429693,20.635,82.0614,27.59,0.66,gariaband
333,CA,1,70,1616429695,66.1451,-65.7125,-26.0,1.87,pangnirtung
334,GT,0,44,1616429696,14.1,-89.75,28.0,1.54,jerez
335,AU,8,74,1616429698,-33.3667,116.15,11.94,3.17,collie
336,UA,0,48,1616429699,47.6525,35.2539,5.0,1.33,malokaterynivka
337,ES,0,58,1616429700,43.2686,-7.5406,16.11,4.92,bereda
338,DK,75,81,1616429702,55.2464,9.306,7.0,6.17,vojens
339,US,90,72,1616429444,29.6516,-82.3248,18.89,4.63,gainesville
340,RU,75,77,1616429532,51.9833,116.5833,-3.33,2.5,nerchinsk
341,RU,98,97,1616429531,70.0167,135.6,-27.1,2.78,ust-kuyga
342,ML,60,11,1616429707,18.9048,-3.5265,32.6,5.66,araouane
343,GL,10,66,1616429709,60.1432,-45.2371,-4.02,7.94,nanortalik
344,CD,88,66,1616429710,-4.05,19.5333,27.27,0.67,mangai
345,VE,40,54,1616429712,7.7669,-72.225,28.0,3.6,san cristobal
346,AU,75,69,1616429713,-20.7333,139.5,27.0,2.57,mount isa
347,PK,40,73,1616429714,24.9056,67.0822,26.0,4.63,karachi
348,PG,100,80,1616429716,-6.2167,155.6333,26.28,0.74,kieta
349,AU,75,100,1616429717,-31.4333,152.9167,19.0,4.12,port macquarie
350,US,90,93,1616429544,36.6828,-101.4816,6.0,6.69,guymon
351,ID,97,84,1616429720,-3.3333,128.9167,26.7,1.31,amahai
352,ID,88,80,1616429721,5.5577,95.3222,27.35,2.98,banda aceh
353,ML,0,12,1616429722,18.4411,1.4078,36.04,5.48,kidal
354,US,1,52,1616429724,33.229,-87.5772,19.0,5.14,northport
355,JP,31,82,1616429725,37.65,139.8667,5.0,2.32,kitakata
356,RU,100,86,1616429727,59.5833,151.2833,-10.57,12.06,ola
357,VE,62,55,1616429728,5.6639,-67.6236,31.27,2.19,puerto ayacucho
358,FO,75,100,1616429730,62.2266,-6.589,8.0,4.63,klaksvik
359,US,1,59,1616429731,37.3834,-89.7168,16.11,4.12,cape girardeau
360,RU,86,98,1616429531,63.4453,120.3167,-27.87,2.04,verkhnevilyuysk
361,UA,100,56,1616429734,48.682,37.5327,3.56,0.61,krasnotorka
362,BR,75,79,1616429457,-3.3542,-64.7114,30.0,1.54,tefe
363,RU,96,99,1616429736,64.5667,143.2,-21.18,3.06,ust-nera
364,MX,0,41,1616429737,16.1667,-95.2,29.87,1.75,salina cruz
365,MG,3,89,1616429739,-23.35,47.6,25.19,2.05,vangaindrano
366,IT,20,60,1616429740,46.6166,10.7002,13.0,5.14,lasa
367,IE,75,76,1616429742,52.1624,-7.1524,10.0,4.63,tramore
368,ES,20,56,1616429743,28.5004,-13.8627,20.0,5.66,puerto del rosario
369,CN,26,68,1616429744,42.5397,128.9972,-1.05,3.06,helong
370,NO,75,87,1616429746,67.667,12.6934,6.0,8.23,sorland
371,CA,90,58,1616429702,54.7682,-101.865,-6.0,3.09,flin flon
372,RU,100,98,1616429748,53.3508,102.7839,0.32,1.59,kutulik
373,MX,0,12,1616429750,21.0167,-102.1667,20.79,3.23,san julian
374,BR,55,60,1616429751,-7.3,-70.2167,30.09,1.93,envira
375,BI,92,83,1616429752,-3.9736,29.4386,24.01,1.42,rumonge
376,ZA,0,68,1616429754,-34.0033,24.7314,20.0,2.24,kruisfontein
377,US,75,100,1616429720,55.3422,-131.6461,0.0,2.06,ketchikan
378,BR,100,82,1616429756,-3.7661,-49.6725,25.9,1.17,tucurui
379,CV,75,60,1616429758,16.1833,-22.9167,23.0,7.72,sal rei
380,AF,100,64,1616429759,36.8648,70.8342,7.77,1.72,jurm
381,AX,75,70,1616429716,60.0973,19.9348,5.0,2.57,maarianhamina
382,MZ,40,74,1616429659,-23.865,35.3833,27.0,7.2,inhambane
383,PE,46,68,1616429763,-11.0964,-77.6139,25.26,4.85,hualmay
384,IT,20,43,1616429765,43.05,12.55,10.0,6.17,perugia
385,SO,22,25,1616429766,4.1213,43.8894,31.56,4.26,xuddur
386,RU,94,97,1616429767,56.0055,71.5113,-4.32,2.53,krutinka
387,UY,75,64,1616429769,-34.6667,-54.9167,23.89,7.2,maldonado
388,GT,20,65,1616429770,14.2,-91.3,31.0,1.78,nueva concepcion
389,RU,25,79,1616429772,54.4299,31.8996,-4.09,3.42,sobolevo
390,KZ,62,55,1616429773,44.1667,66.75,12.88,6.35,shieli
391,IR,40,19,1616429774,35.7178,52.065,18.0,3.09,damavand
392,IN,20,69,1616429776,17.65,83.2667,27.0,1.03,yarada
393,RU,100,95,1616429777,65.8167,87.9833,-14.28,4.21,turukhansk
394,NU,100,89,1616429779,-19.0595,-169.9187,26.0,6.17,alofi
395,RU,100,98,1616429780,55.1956,80.2811,0.5,4.57,kargat
396,TZ,20,65,1616429781,-2.7974,32.4746,27.0,4.63,ibanda
397,TG,58,47,1616429783,7.5833,0.6,32.78,1.84,badou
398,BJ,20,74,1616429784,6.4965,2.6036,30.0,7.2,porto novo
399,RU,0,70,1616429785,48.7119,45.1994,3.0,3.0,leninsk
400,PK,28,32,1616429787,28.5833,65.4167,20.07,2.2,kharan
401,US,1,68,1616429789,21.3906,-158.1547,21.67,6.38,nanakuli
402,CD,30,73,1616429790,-6.4667,16.8167,27.76,1.65,kasongo-lunda
403,PH,100,96,1616429792,17.4189,121.4443,21.68,3.16,tabuk
404,ZA,0,19,1616429793,-29.6641,22.7474,29.26,3.5,prieska
405,CN,0,49,1616429794,32.9947,112.5328,7.28,1.59,nanyang
406,ZA,0,76,1616429796,-34.0527,23.3716,18.5,6.69,plettenberg bay
407,US,1,77,1616429797,33.6668,-95.5836,16.11,6.69,lamar
408,CA,0,77,1616429799,68.3499,-133.7218,-24.0,3.6,inuvik
409,FR,75,53,1616429800,46.4154,3.9054,9.0,6.17,saint-francois
410,RU,89,95,1616429801,61.2767,108.0108,-23.12,2.31,yerbogachen
411,MG,100,83,1616429803,-14.2667,50.1667,26.29,0.57,sambava
412,US,40,48,1616429804,35.1473,-107.8514,4.0,8.75,grants
413,IN,0,70,1616429805,16.9833,73.3,26.45,4.05,ratnagiri
414,BR,14,50,1616429807,-25.1008,-52.8781,29.33,1.98,guaraniacu
415,SE,0,69,1616429808,67.8557,20.2251,-2.0,7.2,kiruna
416,MX,40,20,1616429809,27.3667,-110.1667,19.0,2.57,yaqui
417,BR,40,48,1616429811,-19.4658,-44.2467,29.0,2.06,sete lagoas
418,AR,78,43,1616429712,-26.6167,-54.1333,31.3,1.73,san vicente
419,US,75,100,1616429702,41.0586,-94.3614,8.0,6.69,creston
420,ES,75,55,1616429814,28.6585,-17.9182,19.0,3.6,los llanos de aridane
421,IN,40,88,1616429816,9.9399,76.2602,25.0,1.03,kochi
422,ID,20,78,1616429817,-6.2641,107.0712,28.33,3.6,tambun
423,CL,90,88,1616429818,-38.7,-73.1667,14.0,1.03,carahue
424,RU,91,86,1616429820,59.164,35.3285,-3.12,4.07,chagoda
425,ID,93,88,1616429821,-8.345,113.6058,25.66,0.88,ambulu
426,LK,58,84,1616429823,6.0367,80.217,26.54,3.62,galle
427,AR,0,24,1616429824,-43.3002,-65.1023,26.81,4.86,rawson
428,US,90,56,1616429809,46.5927,-112.0361,3.33,3.6,helena
429,NO,100,94,1616429827,61.9875,5.1352,7.78,10.2,raudeberg
430,GL,20,50,1616429828,60.7167,-46.0333,-3.0,0.51,qaqortoq
431,ID,65,65,1616429830,-5.6667,132.75,29.35,1.23,tual
432,SA,0,22,1616429832,26.326,43.975,31.0,2.57,buraydah
433,RU,100,93,1616429833,66.7697,123.3711,-29.64,5.22,zhigansk
434,PG,75,94,1616429834,-9.4431,147.1797,26.0,1.54,port moresby
435,TH,20,89,1616429836,6.8333,100.0,29.0,2.57,satun
436,SD,4,11,1616429837,14.2,24.6667,32.44,2.4,kutum
437,US,1,55,1616429747,33.816,-78.68,19.0,8.75,north myrtle beach
438,GA,100,83,1616429841,-1.5746,9.2618,26.86,5.27,omboue
439,RU,99,89,1616429842,55.6448,69.235,-3.28,2.69,kazanskoye
440,ID,98,84,1616429843,5.1801,97.1507,26.3,0.65,lhokseumawe
441,RU,100,90,1616429845,62.5333,155.8,-17.07,2.06,omsukchan
442,RU,100,96,1616429646,69.4058,86.1778,-16.32,4.05,dudinka
443,VE,52,65,1616429697,10.0739,-69.3228,25.0,5.66,barquisimeto
444,RU,81,93,1616429848,57.6953,93.2761,-3.01,2.68,kazachinskoye
445,NP,7,27,1616429850,27.3747,87.2039,19.08,2.01,khandbari
446,US,1,60,1616429695,32.7941,-79.8626,20.0,2.06,mount pleasant
447,ET,97,16,1616429852,9.0167,37.45,17.72,2.33,gedo
448,SL,89,66,1616429854,7.5264,-12.505,27.94,5.24,bonthe
449,CA,72,99,1616429855,51.226,-58.6502,3.11,6.43,saint-augustin
450,ID,40,100,1616429856,-0.9492,100.3543,23.0,2.06,padang
451,US,1,56,1616429858,32.0036,-80.9737,20.0,4.63,wilmington island
452,IN,39,22,1616429859,18.8486,76.5297,29.8,1.81,parli
453,LK,63,87,1616429861,5.9667,80.4167,26.0,3.03,weligama
454,CN,0,14,1616429862,36.6167,101.7667,4.27,1.27,xining
455,US,1,55,1616429646,35.3849,-77.9928,18.0,7.2,goldsboro
456,IL,99,51,1616429865,31.61,34.7642,26.11,1.34,gat
457,NG,67,39,1616429292,8.5,4.55,34.17,4.73,ilorin
458,IN,39,20,1616429867,16.8333,75.7,28.54,2.86,bijapur
459,GB,0,62,1616429868,53.6387,-1.0976,12.78,4.12,fenwick
460,AU,100,89,1616429870,-22.0016,148.0466,23.34,1.81,moranbah
461,US,1,82,1616429871,34.6391,-120.4579,11.0,3.6,lompoc
462,RU,99,91,1616429873,58.3631,82.8265,-4.59,1.68,togur
463,IN,11,75,1616429874,10.7667,79.8333,26.79,5.1,nagapattinam
464,CA,1,83,1616429876,68.2191,-135.0107,-28.0,3.09,aklavik
465,US,1,44,1616429849,37.4695,-105.87,3.0,2.2,alamosa
466,AU,99,86,1616429878,-12.0667,134.2667,26.47,1.04,maningrida
467,ER,0,18,1616429880,15.1139,37.5928,29.32,6.1,barentu
468,ZA,0,15,1616429881,-31.4707,19.776,29.66,3.46,calvinia
469,RU,87,97,1616429882,56.3724,75.2418,-4.95,2.15,muromtsevo
470,CA,20,63,1616429884,70.4692,-68.5914,-30.0,3.09,clyde river
471,CA,1,26,1616429885,45.6169,-61.3485,13.0,5.14,port hawkesbury
472,RU,97,95,1616429886,60.3725,93.0408,-9.84,2.72,severo-yeniseyskiy
473,RU,3,89,1616429888,52.4201,136.4853,-10.18,0.8,imeni poliny osipenko
474,PH,99,79,1616429889,11.1373,123.7228,27.57,8.33,sulangan
475,CA,1,32,1616429891,49.7834,-74.8492,10.0,7.2,chapais
476,CA,20,37,1616429892,46.1001,-77.4995,11.0,3.09,deep river
477,KR,17,81,1616429805,37.5683,126.9778,4.0,2.06,seoul
478,RU,5,98,1616429895,66.8333,70.8333,-20.46,2.48,yar-sale
479,RU,100,89,1616429896,61.95,159.2333,-14.84,11.59,evensk
480,PT,20,39,1616429707,38.6979,-9.4215,19.44,5.14,cascais
481,CN,0,27,1616429900,36.4989,111.7047,9.24,1.36,xinzhi
482,LR,40,70,1616429901,5.8808,-10.0467,29.0,2.06,buchanan
483,AU,90,100,1616429903,-23.7,133.8833,20.0,2.57,alice springs
484,IN,0,40,1616429904,27.0167,95.5667,19.03,1.97,khonsa
485,GB,75,93,1616429684,60.0,-1.25,8.0,9.26,sandwick
486,MU,40,83,1616429907,-20.3428,57.7575,27.22,1.54,bambous virieux
487,JP,80,69,1616429908,28.3667,129.4833,11.58,8.26,naze
488,CR,40,69,1616429833,10.0,-83.0333,28.0,1.54,limon
489,AU,34,76,1616429911,-13.8483,136.4192,28.23,3.42,alyangula
490,SB,97,82,1616429912,-10.4544,161.9205,26.23,1.39,kirakira
491,GA,40,78,1616429913,-0.7193,8.7815,27.0,3.09,port-gentil
492,CN,0,35,1616429915,39.8161,109.9776,1.76,5.2,dongsheng
493,TC,40,65,1616429752,21.4612,-71.1419,27.0,4.12,cockburn town
494,AR,0,35,1616429917,-45.8667,-67.5,23.0,4.12,comodoro rivadavia
495,KE,40,34,1616429919,1.7471,40.0573,36.0,1.54,wajir
496,US,90,73,1616429865,27.0998,-82.4543,20.0,6.17,venice
497,US,1,77,1616429651,36.8529,-75.978,14.44,5.36,virginia beach
498,MX,75,94,1616429707,23.2167,-106.4167,22.22,1.54,mazatlan
499,RU,100,95,1616429924,55.8228,45.0349,-2.21,4.17,knyaginino
500,GB,48,76,1616429732,52.2416,-3.3787,10.56,4.04,llandrindod wells
501,AR,20,53,1616429682,-31.4135,-64.1811,25.56,2.57,cordoba
502,ID,55,75,1616429827,5.8933,95.3214,29.0,3.33,sabang
503,ZA,20,24,1616429929,-29.1211,26.214,26.0,4.12,bloemfontein
504,CA,75,42,1616429930,48.9667,-57.9484,8.0,6.17,corner brook
505,CI,88,72,1616429931,4.423,-7.3528,28.87,5.42,tabou
506,MG,86,81,1616429902,-21.2167,48.3333,26.64,1.14,mananjary
507,CA,100,80,1616429702,54.0166,-124.0198,-0.89,2.64,vanderhoof
508,MM,0,33,1616429935,25.3833,97.4,23.95,1.13,myitkyina
509,BR,12,49,1616429936,-3.3783,-68.8725,32.63,1.57,sao paulo de olivenca
510,BR,0,61,1616429938,-15.9653,-54.9683,29.8,2.02,jaciara
511,DE,75,76,1616429899,52.4167,9.6,10.0,6.69,garbsen
512,US,1,39,1616429940,44.6714,-103.8522,7.0,3.09,belle fourche
513,TM,90,87,1616429942,42.0551,59.3788,6.0,7.2,akdepe
514,AU,14,77,1616429943,-33.0333,137.5833,19.0,2.06,whyalla
515,TH,96,48,1616429944,17.6667,100.5,26.12,1.68,uttaradit
516,JP,0,58,1616429946,40.5,141.5,3.89,3.13,hachinohe
517,RU,98,89,1616429947,60.3484,59.9851,-4.81,3.43,cheremukhovo
518,RU,89,96,1616429949,63.7898,74.523,-14.05,4.58,muravlenko
519,NO,75,60,1616429950,70.0311,20.9714,1.0,3.09,skjervoy
520,IR,0,11,1616429951,30.4067,55.9939,18.14,1.1,rafsanjan
521,PL,93,74,1616429953,49.8224,19.0469,3.33,2.49,bielsko-biala
522,SO,41,61,1616429954,9.4942,50.8122,26.41,4.73,bandarbeyla
523,BR,85,68,1616429955,-19.0731,-42.5464,26.87,1.4,acucena
524,PK,0,77,1616429957,25.1216,62.3254,24.27,6.76,gwadar
525,CA,1,35,1616429950,44.6453,-63.5724,15.0,4.63,halifax
526,RU,100,86,1616429959,53.5739,142.9478,-6.91,12.49,okha
527,BR,71,82,1616429961,-1.8333,-65.3667,29.03,1.82,maraa
528,NZ,15,81,1616429962,-39.8833,176.6333,13.33,0.45,otane
529,US,1,41,1616429840,35.9606,-83.9207,17.78,1.92,knoxville
530,TM,90,48,1616429965,37.4966,61.9714,17.0,3.27,murgab
531,LK,99,74,1616429966,8.5711,81.2335,27.99,5.41,trincomalee
532,MG,0,79,1616429968,-20.2833,44.2833,27.95,6.08,morondava
533,NZ,56,89,1616429970,-35.6167,174.5,15.56,1.34,ngunguru
534,CN,89,72,1616429971,46.8333,126.5,0.24,5.34,wangkui
535,US,90,87,1616429973,36.4337,-99.3904,11.0,7.2,woodward
536,ET,83,55,1616429974,6.9833,35.5833,21.86,0.3,mizan teferi
537,CL,20,51,1616429975,-45.5752,-72.0662,17.0,1.54,coihaique
538,RU,0,82,1616429977,67.45,153.6833,-21.31,2.19,srednekolymsk
539,MR,0,22,1616429773,20.5169,-13.0499,33.0,1.03,atar
540,ID,98,90,1616429979,-8.1181,111.8935,24.51,1.15,boyolangu
541,NC,72,73,1616429981,-22.6667,167.4833,23.99,7.42,vao
542,RU,56,93,1616429982,47.0511,142.0569,-7.0,2.0,kholmsk
543,US,40,93,1616429802,41.3114,-105.5911,-2.22,2.57,laramie
544,IN,32,23,1616429984,25.1833,75.8333,27.53,1.59,kota
545,US,1,66,1616429819,38.028,-121.8847,11.11,3.09,pittsburg
546,US,75,61,1616429987,39.1502,-123.2078,8.33,2.65,ukiah
547,AR,77,45,1616429988,-27.7951,-64.2615,26.99,0.37,santiago del estero
548,HT,6,69,1616429827,18.65,-74.1167,26.95,2.14,jeremie
549,CD,88,66,1616429991,-4.3167,20.5833,27.83,0.9,ilebo
550,RU,87,99,1616429992,66.5606,67.7975,-16.72,2.0,aksarka
551,US,1,76,1616429994,41.1415,-73.3579,13.89,3.6,westport
552,MX,40,25,1616429995,29.5667,-104.4167,23.0,4.12,ojinaga
553,GW,58,50,1616429996,11.2833,-15.8333,25.34,4.91,bubaque
554,AU,90,94,1616429715,-21.15,149.2,25.0,0.51,mackay
555,CG,40,66,1616429999,-4.7561,11.8578,30.0,3.7,loandjili
556,SV,0,44,1616429834,13.5928,-89.8275,28.0,1.54,acajutla
557,CL,0,50,1616430001,-20.2208,-70.1431,24.0,8.75,iquique
